open,high,low,close,volume,marketCap,timestamp,crypto_name,date,volatility,daily_return,ma_7,rolling_volatility,liquidity_ratio
3.2836201191,3.4911201,3.2836201191,3.4092400074,0.0,59508216.0152,2013-05-08T23:59:59.999Z,Litecoin,2013-05-08,0.06086399914632181,0.038256522905710244,50.487732376371426,58.711982991969045,0.0
109.5999984741,115.7799987793,109.5999984741,113.5660018921,0.0,1264049202.15,2013-05-08T23:59:59.999Z,Bitcoin,2013-05-08,0.05441769721779645,0.03618616307679257,50.152874980657145,58.281774280476895,0.0
113.1999969482,113.4599990845,109.2600021362,112.6699981689,0.0,1254535382.0,2013-05-09T23:59:59.999Z,Bitcoin,2013-05-09,0.03727697715947342,-0.004681968141240563,65.73560472897144,58.33982809762306,0.0
3.3993999958,3.4416899681,3.294850111,3.4161500931,0.0,59755569.092,2013-05-09T23:59:59.999Z,Litecoin,2013-05-09,0.04298401800219186,0.004927368747630478,50.18076859201428,58.370960244190975,0.0
112.7990036011,122.0,111.5510025024,117.1999969482,0.0,1305479080.0,2013-05-10T23:59:59.999Z,Bitcoin,2013-05-10,0.0891552710723896,0.039016243110298894,66.4420181683,59.00912678717264,0.0
3.4065299034,3.6316399574,3.3671898842,3.4433400631,0.0,60358926.6612,2013-05-10T23:59:59.999Z,Litecoin,2013-05-10,0.07680045198960643,0.010805764441774106,51.005352463028565,59.39000960415589,0.0
117.6999969482,118.6790008545,113.0100021362,115.2429962158,0.0,1284207489.42,2013-05-11T23:59:59.999Z,Bitcoin,2013-05-11,0.04919169844980804,-0.02087511296607188,66.99253191265714,59.480678935526996,0.0
3.4603800774,3.4798099995,3.3006100655,3.3489599228,0.0,58809512.5488,2013-05-11T23:59:59.999Z,Litecoin,2013-05-11,0.053509130634855295,-0.03219881981395428,66.983920472,59.49142196822453,0.0
3.3628098965,3.4222400188,3.2158699036,3.2694499493,0.0,57513319.9785,2013-05-12T23:59:59.999Z,Litecoin,2013-05-12,0.0631207445901366,-0.027762481399013494,51.22727019445714,59.70359421841889,0.0
115.6399993896,117.4489974976,113.4349975586,115.0,0.0,1281982625.0,2013-05-12T23:59:59.999Z,Bitcoin,2013-05-12,0.034904347295652186,-0.0055344119074560005,51.5601275989,60.10836278912344,0.0
114.8199996948,118.6989974976,114.5,117.9800033569,0.0,1315710010.5,2013-05-13T23:59:59.999Z,Bitcoin,2013-05-13,0.03559075587493978,0.027521369713460354,67.92639235087144,60.41090772815935,0.0
3.260890007,3.3734300137,3.1989500523,3.2798399925,0.0,57790879.1952,2013-05-13T23:59:59.999Z,Litecoin,2013-05-13,0.05319770531458337,0.005811292456759009,51.65208421434286,60.26909589470671,0.0
117.9800033569,119.8000030518,110.25,111.5,0.0,1243874487.5,2013-05-14T23:59:59.999Z,Bitcoin,2013-05-14,0.08565025158565026,-0.05492459037568776,67.08874991961429,59.69902148048592,0.0
3.2810099125,3.3318500519,2.7771999836,2.8243000507,0.0,49847567.579,2013-05-14T23:59:59.999Z,Litecoin,2013-05-14,0.19638496559971755,-0.13919795245361066,51.02893618174286,59.70692834434394,0.0
111.4000015259,115.8099975586,103.5,114.2200012207,0.0,1274623812.5,2013-05-15T23:59:59.999Z,Bitcoin,2013-05-15,0.10777444779407927,0.025314180037460467,66.86765636715714,59.65620800165608,0.0
